after_task,evaluation_mode,loss_class_scope,prediction_class_scope,eval_task_12,eval_task_13,eval_task_14,eval_task_15,eval_task_16,eval_task_17,eval_task_18,eval_task_19
12,legacy-cumulative,seen,task,0.814,,,,,,,
13,legacy-cumulative,seen,task,0.812,0.82,,,,,,
14,legacy-cumulative,seen,task,0.802,0.834,0.892,,,,,
15,legacy-cumulative,seen,task,0.812,0.83,0.894,0.786,,,,
16,legacy-cumulative,seen,task,0.812,0.822,0.872,0.79,0.854,,,
17,legacy-cumulative,seen,task,0.798,0.826,0.886,0.772,0.848,0.912,,
18,legacy-cumulative,seen,task,0.826,0.828,0.882,0.79,0.86,0.898,0.704,
19,legacy-cumulative,seen,task,0.808,0.844,0.892,0.786,0.864,0.89,0.712,0.826
