after_task,evaluation_mode,loss_class_scope,prediction_class_scope,eval_task_12,eval_task_13,eval_task_14,eval_task_15,eval_task_16,eval_task_17,eval_task_18,eval_task_19
12,legacy-cumulative,seen,task,0.682,,,,,,,
13,legacy-cumulative,seen,task,0.692,0.696,,,,,,
14,legacy-cumulative,seen,task,0.704,0.702,0.756,,,,,
15,legacy-cumulative,seen,task,0.706,0.704,0.742,0.65,,,,
16,legacy-cumulative,seen,task,0.706,0.7,0.756,0.66,0.764,,,
17,legacy-cumulative,seen,task,0.712,0.706,0.764,0.656,0.77,0.804,,
18,legacy-cumulative,seen,task,0.706,0.696,0.776,0.668,0.776,0.798,0.578,
19,legacy-cumulative,seen,task,0.706,0.702,0.768,0.656,0.768,0.804,0.568,0.714
