after_task,evaluation_mode,loss_class_scope,prediction_class_scope,eval_task_12,eval_task_13,eval_task_14,eval_task_15,eval_task_16,eval_task_17,eval_task_18,eval_task_19
12,legacy-cumulative,seen,task,0.79,,,,,,,
13,legacy-cumulative,seen,task,0.806,0.828,,,,,,
14,legacy-cumulative,seen,task,0.814,0.822,0.886,,,,,
15,legacy-cumulative,seen,task,0.796,0.812,0.9,0.74,,,,
16,legacy-cumulative,seen,task,0.8,0.822,0.888,0.764,0.884,,,
17,legacy-cumulative,seen,task,0.798,0.818,0.892,0.782,0.876,0.89,,
18,legacy-cumulative,seen,task,0.786,0.83,0.884,0.784,0.86,0.894,0.726,
19,legacy-cumulative,seen,task,0.772,0.814,0.896,0.776,0.88,0.894,0.706,0.824
