after_task,evaluation_mode,loss_class_scope,prediction_class_scope,eval_task_12,eval_task_13,eval_task_14,eval_task_15,eval_task_16,eval_task_17,eval_task_18,eval_task_19
12,legacy-cumulative,seen,seen,0.804,,,,,,,
13,legacy-cumulative,seen,seen,0.708,0.654,,,,,,
14,legacy-cumulative,seen,seen,0.654,0.592,0.65,,,,,
15,legacy-cumulative,seen,seen,0.596,0.538,0.628,0.508,,,,
16,legacy-cumulative,seen,seen,0.574,0.512,0.63,0.482,0.678,,,
17,legacy-cumulative,seen,seen,0.532,0.514,0.556,0.472,0.646,0.694,,
18,legacy-cumulative,seen,seen,0.49,0.498,0.532,0.466,0.62,0.69,0.528,
19,legacy-cumulative,seen,seen,0.508,0.488,0.534,0.452,0.564,0.666,0.494,0.508
