run_id,event_count,event_min,event_max,num_samples,num_train,num_test,num_classes,best_epoch,latent_probe_top1_accuracy,latent_probe_top5_accuracy
20260509_ckpt_r005_gi1920,40,1,40,8000,6407,1593,963,117,0.9541745134965474,0.9937225360954175
20260509_ckpt_r005_gi480,40,1,40,8000,6402,1598,962,100,0.9561952440550688,0.9943679599499374
20260509_ckpt_r005_gi960,40,1,40,8000,6399,1601,963,72,0.957526545908807,0.9962523422860712
20260509_ckpt_r010_gi1920,40,1,40,8000,6407,1593,963,117,0.9497802887633396,0.9937225360954175
20260509_ckpt_r010_gi480,40,1,40,8000,6402,1598,962,83,0.9530663329161452,0.9968710888610763
20260509_ckpt_r010_gi960,40,1,40,8000,6399,1601,963,63,0.9556527170518426,0.995627732667083
