method,event_index,meta_iteration,sample_count,pixel_mse,ssim,frozen_feature_cosine,independent_real_accuracy,independent_pseudo_accuracy,label_preservation_rate
Scratch,1,960,200,0.03710295632481575,0.6375855207443237,0.6701770424842834,0.9449999928474426,0.0,0.0
Scratch,2,1920,200,0.037904996424913406,0.6452624201774597,0.6531105637550354,0.9300000071525574,0.0,0.0
Scratch,3,2880,200,0.03243936970829964,0.698736846446991,0.6857629418373108,0.9699999690055847,0.0,0.0
Scratch,4,3840,200,0.028560442849993706,0.7359188795089722,0.7183944582939148,0.9350000023841858,0.004999999888241291,0.0053475935828877
Scratch,5,4800,200,0.02763376571238041,0.7562165856361389,0.7107882499694824,0.9399999976158142,0.004999999888241291,0.005319148936170213
Scratch,6,5760,200,0.025305509567260742,0.7730348110198975,0.7288100123405457,0.9699999690055847,0.0,0.0
Scratch,7,6720,200,0.026529373601078987,0.7703261375427246,0.7269322276115417,0.9599999785423279,0.0,0.0
Scratch,8,7680,200,0.024677185341715813,0.7839863300323486,0.7437841892242432,0.9799999594688416,0.004999999888241291,0.00510204081632653
Scratch,9,8640,200,0.024071943014860153,0.7884107828140259,0.7427013516426086,0.9099999666213989,0.0,0.0
Scratch,10,9600,200,0.02271791361272335,0.7958182096481323,0.7453400492668152,0.949999988079071,0.0,0.0
Scratch,11,10560,200,0.023283807560801506,0.7900317311286926,0.735634982585907,0.949999988079071,0.014999999664723873,0.015789473684210527
Scratch,12,11520,200,0.02392098680138588,0.7913928031921387,0.7401973009109497,0.9749999642372131,0.009999999776482582,0.010256410256410256
Scratch,13,12480,200,0.022800525650382042,0.7991971373558044,0.7634122371673584,0.949999988079071,0.009999999776482582,0.010526315789473684
Scratch,14,13440,200,0.02360045164823532,0.7974465489387512,0.7563583254814148,0.9300000071525574,0.009999999776482582,0.010752688172043012
Scratch,15,14400,200,0.02293749339878559,0.7960667014122009,0.7552365660667419,0.9399999976158142,0.004999999888241291,0.005319148936170213
Scratch,16,15360,200,0.02415751852095127,0.7944903373718262,0.7538507580757141,0.9699999690055847,0.0,0.0
Scratch,17,16320,200,0.023536914959549904,0.8018926978111267,0.752923846244812,0.949999988079071,0.019999999552965164,0.021052631578947368
Scratch,18,17280,200,0.02314169332385063,0.7997440695762634,0.7558653950691223,0.9749999642372131,0.004999999888241291,0.005128205128205128
Scratch,19,18240,200,0.02300206571817398,0.8018906116485596,0.7570672631263733,0.9449999928474426,0.004999999888241291,0.005291005291005291
Scratch,20,19200,200,0.023122405633330345,0.7978883981704712,0.7470436096191406,0.9199999570846558,0.004999999888241291,0.005434782608695652
Scratch,21,20160,200,0.022542377933859825,0.8086452484130859,0.7596270442008972,0.9449999928474426,0.014999999664723873,0.015873015873015872
Scratch,22,21120,200,0.021509839221835136,0.8120599389076233,0.770992636680603,0.9449999928474426,0.0,0.0
Scratch,23,22080,200,0.02275114320218563,0.806098461151123,0.7614864706993103,0.9649999737739563,0.0,0.0
Scratch,24,23040,200,0.022516192868351936,0.8067960739135742,0.7715492248535156,0.9249999523162842,0.004999999888241291,0.005405405405405406
Scratch,25,24000,200,0.022194193676114082,0.8117513656616211,0.768993079662323,0.949999988079071,0.014999999664723873,0.015789473684210527
Scratch,26,24960,200,0.022439513355493546,0.8090016841888428,0.7666599750518799,0.8849999904632568,0.009999999776482582,0.011299435028248588
Scratch,27,25920,200,0.023293623700737953,0.8011030554771423,0.7511600852012634,0.9399999976158142,0.004999999888241291,0.005319148936170213
Scratch,28,26880,200,0.022707242518663406,0.8074103593826294,0.763822615146637,0.9449999928474426,0.009999999776482582,0.010582010582010581
Scratch,29,27840,200,0.021776532754302025,0.8100665807723999,0.7740734815597534,0.9350000023841858,0.009999999776482582,0.0106951871657754
Scratch,30,28800,200,0.021505873650312424,0.8126773834228516,0.7704861164093018,0.9599999785423279,0.009999999776482582,0.010416666666666666
Scratch,31,29760,200,0.02225545421242714,0.8105992674827576,0.7652164101600647,0.9300000071525574,0.004999999888241291,0.005376344086021506
Scratch,32,30720,200,0.020779037848114967,0.814903974533081,0.7708826065063477,0.949999988079071,0.004999999888241291,0.005263157894736842
Scratch,33,31680,200,0.022805899381637573,0.8078930377960205,0.7651868462562561,0.949999988079071,0.0,0.0
Scratch,34,32640,200,0.020625459030270576,0.8166676163673401,0.7788482308387756,0.9449999928474426,0.009999999776482582,0.010582010582010581
Scratch,35,33600,200,0.02060752734541893,0.819123387336731,0.7814739346504211,0.9449999928474426,0.014999999664723873,0.015873015873015872
Scratch,36,34560,200,0.021443476900458336,0.8155750632286072,0.7633230686187744,0.9699999690055847,0.009999999776482582,0.010309278350515464
Scratch,37,35520,200,0.019634846597909927,0.8233128190040588,0.7818603515625,0.9649999737739563,0.019999999552965164,0.02072538860103627
Scratch,38,36480,200,0.02145119197666645,0.8146180510520935,0.7665972709655762,0.9549999833106995,0.004999999888241291,0.005235602094240838
Scratch,39,37440,200,0.022181987762451172,0.8097622394561768,0.7681534886360168,0.9549999833106995,0.009999999776482582,0.010471204188481676
Scratch,40,38400,200,0.0210268534719944,0.8194035291671753,0.7796164751052856,0.9399999976158142,0.004999999888241291,0.005319148936170213
Scratch,41,39360,200,0.021967560052871704,0.8113905787467957,0.7690222263336182,0.9649999737739563,0.009999999776482582,0.010362694300518135
Scratch,42,40320,200,0.02162535861134529,0.8107873201370239,0.7744645476341248,0.9649999737739563,0.009999999776482582,0.010362694300518135
Scratch,43,41280,200,0.0204670038074255,0.8188778758049011,0.7676978707313538,0.9149999618530273,0.0,0.0
Scratch,44,42240,200,0.020164422690868378,0.8226454257965088,0.7860862612724304,0.9350000023841858,0.009999999776482582,0.0106951871657754
Scratch,45,43200,200,0.02202436327934265,0.8151377439498901,0.7678951025009155,0.9099999666213989,0.009999999776482582,0.01098901098901099
Scratch,46,44160,200,0.021963324397802353,0.8145148754119873,0.7761802673339844,0.9350000023841858,0.014999999664723873,0.016042780748663103
Scratch,47,45120,200,0.021914992481470108,0.8141791820526123,0.771969735622406,0.9699999690055847,0.009999999776482582,0.010309278350515464
Scratch,48,46080,200,0.02150864340364933,0.8164333701133728,0.7804796695709229,0.9599999785423279,0.019999999552965164,0.020833333333333332
Scratch,49,47040,200,0.020660245791077614,0.8213530778884888,0.7782236933708191,0.9300000071525574,0.009999999776482582,0.005376344086021506
Scratch,50,48000,200,0.020661739632487297,0.8188506364822388,0.7773087620735168,0.949999988079071,0.004999999888241291,0.005263157894736842
Scratch,51,48960,200,0.02071414887905121,0.8221539855003357,0.7853429913520813,0.9599999785423279,0.019999999552965164,0.020833333333333332
Scratch,52,49920,200,0.021870752796530724,0.812118649482727,0.7643203735351562,0.9549999833106995,0.009999999776482582,0.010471204188481676
Scratch,53,50880,200,0.02099764347076416,0.8204597234725952,0.7778962254524231,0.9649999737739563,0.019999999552965164,0.02072538860103627
Scratch,54,51840,200,0.021380329504609108,0.8169722557067871,0.7775582671165466,0.949999988079071,0.009999999776482582,0.005263157894736842
Scratch,55,52800,200,0.020637864246964455,0.8226142525672913,0.7832254767417908,0.9199999570846558,0.009999999776482582,0.010869565217391304
Scratch,56,53760,200,0.020667459815740585,0.8206678628921509,0.7807014584541321,0.9300000071525574,0.014999999664723873,0.016129032258064516
Scratch,57,54720,200,0.021540751680731773,0.8153533935546875,0.7783231139183044,0.9549999833106995,0.014999999664723873,0.015706806282722512
Scratch,58,55680,200,0.02108049765229225,0.8223338723182678,0.7763102650642395,0.9599999785423279,0.02499999850988388,0.026041666666666668
Scratch,59,56640,200,0.01999715343117714,0.8248206973075867,0.7763010263442993,0.9549999833106995,0.0,0.0
Scratch,60,57600,200,0.021081391721963882,0.8185997009277344,0.7817137837409973,0.9799999594688416,0.009999999776482582,0.01020408163265306
Scratch,61,58560,200,0.020844893530011177,0.8230730891227722,0.7835037112236023,0.949999988079071,0.019999999552965164,0.015789473684210527
Scratch,62,59520,200,0.021230118349194527,0.8177945613861084,0.77000892162323,0.9649999737739563,0.004999999888241291,0.0051813471502590676
Scratch,63,60480,200,0.020276622846722603,0.8209214806556702,0.7808536887168884,0.9300000071525574,0.004999999888241291,0.0
Scratch,64,61440,200,0.020469514653086662,0.8211272358894348,0.7815539240837097,0.9300000071525574,0.009999999776482582,0.010752688172043012
Scratch,65,62400,200,0.021757176145911217,0.8149862289428711,0.7775053977966309,0.9649999737739563,0.02499999850988388,0.025906735751295335
Scratch,66,63360,200,0.02115081250667572,0.8187930583953857,0.7766882181167603,0.9399999976158142,0.014999999664723873,0.015957446808510637
Scratch,67,64320,200,0.021830622106790543,0.8160250782966614,0.7878064513206482,0.9049999713897705,0.004999999888241291,0.0055248618784530384
Scratch,68,65280,200,0.02104930207133293,0.8210924863815308,0.780066192150116,0.9300000071525574,0.009999999776482582,0.010752688172043012
Scratch,69,66240,200,0.021679019555449486,0.8174171447753906,0.7830173969268799,0.9350000023841858,0.004999999888241291,0.0053475935828877
Scratch,70,67200,200,0.02127712033689022,0.8185375928878784,0.7928562760353088,0.9549999833106995,0.02499999850988388,0.02617801047120419
