method,sample_count,pixel_mse_mean,pixel_mse_std,ssim_mean,ssim_std,frozen_feature_cosine_mean,frozen_feature_cosine_std,independent_real_accuracy,independent_pseudo_accuracy,label_preservation_rate
Scratch,1000,0.02058783359825611,0.008696003817021847,0.8221317529678345,0.05207998678088188,0.7855343222618103,0.0765516459941864,0.9340000152587891,0.009000000543892384,0.009635974304068522
Warm-start,1000,0.022752050310373306,0.009973241947591305,0.802301287651062,0.060820095241069794,0.7676241397857666,0.08094591647386551,0.9340000152587891,0.007000000216066837,0.006423982869379015
